Statistical profiling result from con_console.log.log, (9343 ticks, 54 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    407    4.4%          /usr/lib/system/libsystem_pthread.dylib
    201    2.2%          /usr/lib/system/libsystem_c.dylib
    169    1.8%          /usr/lib/system/libsystem_malloc.dylib
    150    1.6%          /usr/lib/system/libsystem_kernel.dylib
    122    1.3%          /usr/lib/libc++.1.dylib
    100    1.1%          /usr/lib/system/libsystem_platform.dylib
      9    0.1%          /usr/lib/libc++abi.dylib
      2    0.0%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     20    0.2%    0.2%  LazyCompile: *resolve node:path:1091:10
     15    0.2%    0.2%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      8    0.1%    0.1%  LazyCompile: *deserializeObject /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/parser/deserializer.js:65:27
      8    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      7    0.1%    0.1%  LazyCompile: *executeOperationAsync /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/operations/execute_operation.js:15:37
      5    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      3    0.0%    0.0%  LazyCompile: *serializeInto /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/parser/serializer.js:553:23
      3    0.0%    0.0%  LazyCompile: *realpathSync node:fs:2425:22
      3    0.0%    0.0%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      3    0.0%    0.0%  LazyCompile: *processWaitQueue /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/connection_pool.js:441:21
      3    0.0%    0.0%  LazyCompile: *emit node:events:475:44
      3    0.0%    0.0%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      3    0.0%    0.0%  Function: ^validateString node:internal/validators:118:24
      2    0.0%    0.0%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      2    0.0%    0.0%  LazyCompile: *write node:buffer:1051:40
      2    0.0%    0.0%  LazyCompile: *selectServer /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/topology.js:254:17
      2    0.0%    0.0%  LazyCompile: *processWaitQueue /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/topology.js:548:26
      2    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      2    0.0%    0.0%  LazyCompile: *now /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/utils.js:536:13
      2    0.0%    0.0%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      2    0.0%    0.0%  LazyCompile: *getEncodingOps node:buffer:679:24
      2    0.0%    0.0%  LazyCompile: *formatRaw node:internal/util/inspect:820:19
      2    0.0%    0.0%  LazyCompile: *formatProperty node:internal/util/inspect:1810:24
      2    0.0%    0.0%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      2    0.0%    0.0%  LazyCompile: *Long.add /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/bson/lib/long.js:252:35
      2    0.0%    0.0%  Function: ^supportsOpMsg /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/cmap/connection.js:385:23
      2    0.0%    0.0%  Function: ^selectServer /Users/manuelrolon/Desktop/Entregas/Entrega14/node_modules/mongodb/lib/sdam/topology.js:254:17
